k,t_s,offset_ns,offset_simulink_ns,meas_ns,corr_ppb,freq_adj,adj_valid
65,0.065,37.25146484375,37.251447141826,96.0552427806998,47338.1524172125,-1301221,0
66,0.066,27.413330078125,27.4132812945154,84.8903104159691,46734.8644676144,-1284638,0
67,0.067,18.178466796875,18.1784062018785,16.5463465955787,41055.7425969423,-1128532,0
68,0.068,14.62255859375,14.6226542119134,80.441295321517,46743.8230611842,-1284884,0
69,0.069,5.3787841796875,5.37880825017734,-3.82463819141785,39646.0031459753,-1089781,0
70,0.07,3.2327880859375,3.23278812234499,72.0689833018954,46309.5421658072,-1272947,0
71,0.071,-5.5767822265625,-5.57676900535027,-76.3082232680802,33536.8763337252,-921855,0
72,0.072,-1.61376953125,-1.6136614613701,32.4369616394418,42805.1877401247,-1176620,0
73,0.073,-6.9188232421875,-6.91887372266959,-91.6839453505145,32010.6090495611,-879901,0
74,0.074,-1.4295654296875,-1.42949376763347,44.052380974605,43593.4375499278,-1198287,0
75,0.075,-7.52294921875,-7.52295286221027,20.9934570849963,41738.17104773,-1147290,0
76,0.076,-11.7611083984375,-11.7611391106258,-30.6723234998049,37274.464524839,-1024593,0
77,0.077,-11.53564453125,-11.5356164397179,-66.8513246107163,33969.6180939016,-933750,0
78,0.078,-8.00537109375,-8.00525239134827,-65.1852128299014,33852.3069010502,-930525,0
79,0.079,-4.357666015625,-4.35758523478913,-114.217548091032,29280.1101778183,-804846,0
80,0.08,3.8621826171875,3.86228151346265,92.9924931338216,47063.662925742,-1293676,0
81,0.081,-5.701416015625,-5.70140639929068,-15.8025312781877,37856.8351403775,-1040601,0
82,0.082,-6.0582275390625,-6.05825906048723,-57.3358661764131,34139.5132758474,-938420,0
83,0.083,-2.6978759765625,-2.69778627499615,78.6097439597569,45876.3649681658,-1261040,0
84,0.084,-11.0740966796875,-11.0741757250002,-18.628613890551,37629.7407464919,-1034358,0
85,0.085,-11.2039794921875,-11.2039264577466,102.240948528926,48192.7164717659,-1324711,0
86,0.086,-21.8966064453125,-21.8966642267146,33.6746386726875,42562.5284692092,-1169950,0
87,0.087,-26.959228515625,-26.9592044507116,-42.270026863495,36012.3453755049,-989900,0
88,0.088,-25.4715576171875,-25.471568555359,15.1202975605215,40895.8118587613,-1124136,0
89,0.089,-28.867431640625,-28.8673961579997,-12.8933729110762,38490.3037920296,-1058013,0
90,0.09,-29.857666015625,-29.8577197357549,14.4115700674156,40842.2357378839,-1122663,0
91,0.091,-33.199951171875,-33.1999675496074,-66.2069255463654,33804.7050024974,-929217,0
92,0.092,-29.5047607421875,-29.5046877021173,-9.34329663645053,38547.3194045128,-1059581,0
93,0.093,-30.552001953125,-30.5520300607499,-62.8139249555052,33805.0167773153,-929225,0
94,0.094,-26.8570556640625,-26.8570611795501,-56.6755396684271,34097.2053068538,-937257,0
95,0.095,-23.454345703125,-23.4542827050279,21.0650682387845,40714.6237720775,-1119155,0
96,0.096,-26.6689453125,-26.6689287031498,31.4436542567678,41711.1042310668,-1146546,0
97,0.097,-30.8800048828125,-30.8800513267677,27.0229276166202,41446.2198337395,-1139265,0
98,0.098,-34.8262939453125,-34.8262840699411,58.0590777037771,44284.0875596397,-1217272,0
99,0.099,-41.6103515625,-41.6103893117548,-35.9614228838987,36239.5007466988,-996144,0
100,0.1,-40.3499755859375,-40.3499035886484,-8.27881270841615,38533.5947445956,-1059203,0
101,0.101,-41.383544921875,-41.3835213721006,-37.1477655782393,35960.4421394783,-988473,0
102,0.102,-39.843994140625,-39.8439825712995,-23.7530800756212,36992.5150852058,-1016843,0
103,0.103,-39.3365478515625,-39.336515754921,-63.2003946682736,33427.3742409139,-918845,0
104,0.104,-35.263916015625,-35.26390994633,-4.13090900873577,38375.9738208028,-1054871,0
105,0.105,-36.139892578125,-36.139901553939,-31.3667647200887,35962.9096894373,-988541,0
106,0.106,-34.6029052734375,-34.6028277301745,-4.74362266735641,38181.9102029628,-1049536,0
